Latitude (decimal degrees):	-23.553
Longitude (decimal degrees):	-46.553
Elevation (m):	780
Radiation database:	PVGIS-SARAH3


Slope: 25 deg. (optimum)
Azimuth: -169 deg. (optimum)
Nominal power of the PV system (c-Si) (kWp):	10.0
System losses (%):	14.0
time,P,G(i),H_sun,T2m,WS10m,Int
20230102:2103,294.0,52.17,10.37,23.74,1.31,0.0
20230102:2203,0.0,0.0,0.0,22.74,1.59,0.0
20230102:2303,0.0,0.0,0.0,21.77,1.66,0.0
20230103:0003,0.0,0.0,0.0,21.24,1.45,0.0
20230103:0103,0.0,0.0,0.0,20.79,1.45,0.0
20230103:0203,0.0,0.0,0.0,20.37,1.66,0.0
20230103:0303,0.0,0.0,0.0,20.25,1.72,0.0
20230103:0403,0.0,0.0,0.0,20.2,2.14,0.0
20230103:0503,0.0,0.0,0.0,20.4,2.9,0.0
20230103:0603,0.0,0.0,0.0,20.23,3.38,0.0
20230103:0703,0.0,0.0,0.0,19.97,3.17,0.0
20230103:0803,0.0,0.0,0.0,19.77,3.17,0.0
20230103:0903,68.8,19.24,7.41,19.84,3.45,0.0
20230103:1003,408.1,66.37,20.4,20.92,4.07,0.0
20230103:1103,1038.6,145.24,33.69,22.4,5.45,0.0
20230103:1203,4909.3,636.88,47.21,24.19,6.55,0.0
20230103:1303,4304.6,563.76,60.85,25.16,6.07,0.0
20230103:1403,4670.6,619.84,74.58,26.06,5.45,0.0
20230103:1503,6023.0,819.96,88.23,26.66,4.83,0.0
20230103:1603,2897.4,387.24,77.82,27.03,3.86,0.0
20230103:1703,2236.2,296.15,64.08,24.53,4.76,0.0
20230103:1803,1125.2,156.79,50.4,23.41,4.41,0.0
20230103:1903,716.3,106.77,36.86,24.76,4.21,0.0
20230103:2003,579.9,89.45,23.5,24.39,3.45,0.0
20230103:2103,22.7,11.18,10.43,23.76,2.97,0.0
20230103:2203,0.0,0.0,0.0,22.57,3.24,0.0
20230103:2303,0.0,0.0,0.0,21.65,3.1,0.0
20230104:0003,0.0,0.0,0.0,21.04,2.9,0.0
20230104:0103,0.0,0.0,0.0,20.74,3.03,0.0
20230104:0203,0.0,0.0,0.0,20.6,3.31,0.0
20230104:0303,0.0,0.0,0.0,20.6,3.52,0.0
20230104:0403,0.0,0.0,0.0,20.57,3.52,0.0
20230104:0503,0.0,0.0,0.0,20.63,3.59,0.0
20230104:0603,0.0,0.0,0.0,20.68,3.86,0.0
20230104:0703,0.0,0.0,0.0,20.52,3.93,0.0
20230104:0803,0.0,0.0,0.0,20.48,3.93,0.0
20230104:0903,224.0,42.96,7.28,20.65,3.66,0.0
20230104:1003,543.1,83.68,20.27,21.24,3.1,0.0
20230104:1103,3302.2,431.6,33.57,21.8,3.52,0.0
20230104:1203,4153.9,540.6,47.09,22.44,4.14,0.0
20230104:1303,4892.8,648.29,60.74,24.24,4.28,0.0
20230104:1403,1596.9,217.38,74.47,25.72,4.28,0.0
20230104:1503,4861.3,651.67,88.09,24.27,3.45,0.0
20230104:1603,3445.0,453.6,77.9,22.32,2.62,0.0
20230104:1703,1645.9,220.27,64.16,21.51,2.69,0.0
20230104:1803,1698.1,226.04,50.49,20.67,2.48,0.0
20230104:1903,297.9,51.94,36.93,20.33,2.48,0.0
20230104:2003,1059.9,147.48,23.57,19.58,2.69,0.0
20230104:2103,23.6,11.18,10.49,18.56,3.1,0.0
20230104:2203,0.0,0.0,0.0,17.79,3.31,0.0
20230104:2303,0.0,0.0,0.0,17.25,3.24,0.0
20230105:0003,0.0,0.0,0.0,16.97,2.62,0.0
20230105:0103,0.0,0.0,0.0,16.82,2.76,0.0
20230105:0203,0.0,0.0,0.0,16.72,2.76,0.0
20230105:0303,0.0,0.0,0.0,16.65,2.76,0.0
20230105:0403,0.0,0.0,0.0,16.66,2.55,0.0
20230105:0503,0.0,0.0,0.0,16.65,2.28,0.0
20230105:0603,0.0,0.0,0.0,16.8,2.07,0.0
20230105:0703,0.0,0.0,0.0,17.23,1.79,0.0
20230105:0803,0.0,0.0,0.0,17.34,1.79,0.0
20230105:0903,133.1,28.86,7.15,17.35,2.07,0.0
20230105:1003,369.2,60.6,20.14,17.47,2.21,0.0
20230105:1103,559.7,84.65,33.45,17.73,2.07,0.0
20230105:1203,992.8,137.55,46.97,17.77,2.34,0.0
20230105:1303,1183.5,160.63,60.63,17.72,2.28,0.0
20230105:1403,2698.4,347.21,74.36,17.68,2.55,0.0
20230105:1503,1314.4,176.02,87.95,17.52,2.97,0.0
20230105:1603,2671.4,342.32,77.99,17.5,3.24,0.0
20230105:1703,1851.0,240.47,64.25,17.64,4.0,0.0
20230105:1803,900.4,126.01,50.57,17.74,3.86,0.0
20230105:1903,647.9,95.23,37.0,17.36,3.38,0.0
20230105:2003,1197.4,163.12,23.63,17.34,3.52,0.0
20230105:2103,23.9,11.18,10.54,16.96,3.38,0.0
20230105:2203,0.0,0.0,0.0,16.71,3.45,0.0
20230105:2303,0.0,0.0,0.0,16.43,3.31,0.0
20230106:0003,0.0,0.0,0.0,16.44,3.03,0.0
20230106:0103,0.0,0.0,0.0,16.52,3.03,0.0
20230106:0203,0.0,0.0,0.0,16.44,2.97,0.0
20230106:0303,0.0,0.0,0.0,16.51,2.97,0.0
20230106:0403,0.0,0.0,0.0,16.59,3.17,0.0
20230106:0503,0.0,0.0,0.0,16.63,3.03,0.0
20230106:0603,0.0,0.0,0.0,16.32,3.03,0.0
20230106:0703,0.0,0.0,0.0,16.32,3.45,0.0
20230106:0803,0.0,0.0,0.0,16.4,3.17,0.0
20230106:0903,88.7,22.12,7.01,16.35,3.59,0.0
20230106:1003,788.9,112.18,20.01,16.52,3.72,0.0
20230106:1103,1707.8,222.66,33.33,17.45,4.48,0.0
20230106:1203,1762.3,229.89,46.85,18.12,4.55,0.0
20230106:1303,2732.6,350.12,60.51,19.06,4.76,0.0
20230106:1403,3918.2,502.03,74.25,19.5,4.97,0.0
20230106:1503,3578.0,458.34,87.81,19.34,4.76,0.0
20230106:1603,3121.8,399.61,78.07,19.46,5.03,0.0
20230106:1703,1854.4,242.39,64.33,19.69,5.17,0.0
20230106:1803,1420.6,189.49,50.64,19.18,4.76,0.0
20230106:1903,661.7,97.15,37.07,18.17,4.28,0.0
20230106:2003,153.1,31.74,23.69,17.66,3.93,0.0
20230106:2103,23.9,11.18,10.59,17.13,3.31,0.0
20230106:2203,0.0,0.0,0.0,16.67,3.03,0.0
20230106:2303,0.0,0.0,0.0,16.41,3.03,0.0
20230107:0003,0.0,0.0,0.0,16.14,2.9,0.0
20230107:0103,0.0,0.0,0.0,16.0,2.83,0.0
20230107:0203,0.0,0.0,0.0,15.75,2.48,0.0
20230107:0303,0.0,0.0,0.0,15.56,2.41,0.0
20230107:0403,0.0,0.0,0.0,15.51,2.69,0.0
20230107:0503,0.0,0.0,0.0,15.51,2.62,0.0
20230107:0603,0.0,0.0,0.0,15.53,2.41,0.0
20230107:0703,0.0,0.0,0.0,15.67,2.34,0.0
20230107:0803,0.0,0.0,0.0,15.76,2.21,0.0
20230107:0903,120.9,26.93,6.88,15.95,2.41,0.0
20230107:1003,973.6,135.15,19.88,16.57,3.45,0.0
20230107:1103,1101.0,150.05,33.2,17.49,3.72,0.0
20230107:1203,2081.8,269.28,46.73,18.24,3.93,0.0
20230107:1303,1747.2,228.93,60.4,18.57,3.86,0.0
20230107:1403,2062.3,268.36,74.14,19.25,3.79,0.0
20230107:1503,2390.2,308.76,87.67,19.16,3.93,0.0
20230107:1603,2773.7,356.7,78.15,19.13,4.0,0.0
20230107:1703,3280.7,420.75,64.41,19.36,4.34,0.0
20230107:1803,1397.6,186.6,50.71,18.96,4.55,0.0
20230107:1903,330.3,55.79,37.14,18.7,4.21,0.0
20230107:2003,159.2,32.7,23.75,18.44,4.07,0.0
20230107:2103,28.5,12.11,10.64,18.0,3.72,0.0
20230107:2203,0.0,0.0,0.0,17.48,3.45,0.0
20230107:2303,0.0,0.0,0.0,16.99,3.03,0.0
20230108:0003,0.0,0.0,0.0,16.65,2.62,0.0
20230108:0103,0.0,0.0,0.0,16.43,2.34,0.0
20230108:0203,0.0,0.0,0.0,16.07,2.14,0.0
20230108:0303,0.0,0.0,0.0,15.65,2.14,0.0
20230108:0403,0.0,0.0,0.0,15.47,2.0,0.0
20230108:0503,0.0,0.0,0.0,15.24,1.72,0.0
20230108:0603,0.0,0.0,0.0,15.14,1.72,0.0
20230108:0703,0.0,0.0,0.0,15.41,1.72,0.0
20230108:0803,0.0,0.0,0.0,15.31,1.86,0.0
20230108:0903,177.9,43.05,6.74,15.38,1.86,0.0
20230108:1003,1652.0,231.26,19.75,17.01,2.83,0.0
20230108:1103,3108.8,400.5,33.08,18.7,3.31,0.0
20230108:1203,2495.7,323.07,46.61,19.88,3.59,0.0
20230108:1303,3428.7,444.64,60.28,20.82,3.52,0.0
20230108:1403,4449.9,584.14,74.03,21.5,3.52,0.0
20230108:1503,3897.7,510.03,87.52,21.73,3.52,0.0
20230108:1603,3918.1,512.2,78.23,21.65,3.59,0.0
20230108:1703,1387.4,187.57,64.48,21.15,3.59,0.0
20230108:1803,996.3,139.47,50.79,20.88,3.79,0.0
20230108:1903,410.5,66.37,37.2,19.56,3.03,0.0
20230108:2003,158.6,32.7,23.8,19.09,2.97,0.0
20230108:2103,28.3,12.11,10.68,18.96,3.17,0.0
20230108:2203,0.0,0.0,0.0,18.47,2.55,0.0
20230108:2303,0.0,0.0,0.0,18.23,2.07,0.0
20230109:0003,0.0,0.0,0.0,17.96,1.86,0.0
20230109:0103,0.0,0.0,0.0,17.96,2.0,0.0
20230109:0203,0.0,0.0,0.0,17.82,2.0,0.0
20230109:0303,0.0,0.0,0.0,17.68,1.66,0.0
20230109:0403,0.0,0.0,0.0,17.59,1.66,0.0
20230109:0503,0.0,0.0,0.0,17.47,1.66,0.0
20230109:0603,0.0,0.0,0.0,17.56,1.52,0.0
20230109:0703,0.0,0.0,0.0,17.49,1.52,0.0
20230109:0803,0.0,0.0,0.0,17.5,1.52,0.0
20230109:0903,197.6,39.02,6.6,17.52,1.66,0.0
20230109:1003,927.9,130.54,19.62,17.78,2.07,0.0
20230109:1103,1762.5,232.14,32.95,18.48,2.0,0.0
20230109:1203,2102.7,275.05,46.49,19.16,2.0,0.0
20230109:1303,2995.1,389.67,60.17,19.75,2.14,0.0
20230109:1403,2532.4,331.84,73.91,20.68,2.07,0.0
20230109:1503,3076.1,403.82,87.36,21.11,2.0,0.0
20230109:1603,2883.7,377.73,78.3,21.02,2.21,0.0
20230109:1703,2736.7,358.02,64.56,21.2,2.55,0.0
20230109:1803,2924.6,382.36,50.85,21.5,2.69,0.0
20230109:1903,1147.1,157.75,37.26,20.39,3.17,0.0
20230109:2003,157.8,32.7,23.85,19.98,3.31,0.0
20230109:2103,28.3,12.11,10.71,19.3,3.03,0.0
20230109:2203,0.0,0.0,0.0,18.89,2.9,0.0
20230109:2303,0.0,0.0,0.0,18.61,2.28,0.0
20230110:0003,0.0,0.0,0.0,18.65,1.93,0.0
20230110:0103,0.0,0.0,0.0,18.55,2.21,0.0
20230110:0203,0.0,0.0,0.0,18.49,2.48,0.0
20230110:0303,0.0,0.0,0.0,18.44,2.21,0.0
20230110:0403,0.0,0.0,0.0,18.17,1.45,0.0
20230110:0503,0.0,0.0,0.0,18.13,1.17,0.0
20230110:0603,0.0,0.0,0.0,18.0,1.24,0.0
20230110:0703,0.0,0.0,0.0,18.0,0.97,0.0
20230110:0803,0.0,0.0,0.0,17.99,0.76,0.0
20230110:0903,203.4,39.89,6.46,18.03,0.41,0.0
20230110:1003,471.7,74.06,19.48,18.68,0.76,0.0
20230110:1103,1192.3,163.52,32.83,19.53,1.1,0.0
20230110:1203,1598.4,214.5,46.38,20.67,1.45,0.0
20230110:1303,4455.2,591.34,60.06,21.73,2.21,0.0
20230110:1403,2601.8,341.46,73.8,21.95,2.83,0.0
20230110:1503,4204.3,557.9,87.21,22.55,2.69,0.0
20230110:1603,3393.9,450.99,78.36,23.22,2.0,0.0
20230110:1703,2491.8,332.44,64.63,23.65,1.52,0.0
20230110:1803,2531.1,337.79,50.92,23.38,1.17,0.0
20230110:1903,2967.1,399.33,37.32,22.72,1.1,0.0
20230110:2003,382.5,63.48,23.89,21.94,1.24,0.0
20230110:2103,27.9,12.11,10.75,20.94,0.28,0.0
20230110:2203,0.0,0.0,0.0,20.53,0.9,0.0
20230110:2303,0.0,0.0,0.0,20.21,0.83,0.0
20230111:0003,0.0,0.0,0.0,20.15,0.48,0.0
20230111:0103,0.0,0.0,0.0,20.23,0.69,0.0
20230111:0203,0.0,0.0,0.0,19.96,1.03,0.0
20230111:0303,0.0,0.0,0.0,19.62,1.38,0.0
20230111:0403,0.0,0.0,0.0,18.92,1.52,0.0
20230111:0503,0.0,0.0,0.0,18.68,1.52,0.0
20230111:0603,0.0,0.0,0.0,18.51,1.45,0.0
20230111:0703,0.0,0.0,0.0,18.34,1.31,0.0
20230111:0803,0.0,0.0,0.0,18.13,1.45,0.0
20230111:0903,158.0,32.92,6.31,18.09,1.45,0.0
20230111:1003,724.1,106.43,19.35,20.36,1.31,0.0
20230111:1103,1397.3,190.31,32.7,21.99,2.0,0.0
20230111:1203,961.3,136.59,46.26,23.24,3.72,0.0
20230111:1303,1190.7,165.44,59.94,24.06,4.07,0.0
20230111:1403,2916.0,384.77,73.69,24.75,4.14,0.0
20230111:1503,4956.9,665.66,87.04,25.81,4.28,0.0
20230111:1603,4002.4,532.97,78.43,25.46,3.79,0.0
20230111:1703,4494.8,606.41,64.69,25.56,2.76,0.0
20230111:1803,3383.6,453.53,50.98,25.88,2.34,0.0
20230111:1903,2870.9,382.75,37.37,24.88,3.79,0.0
20230111:2003,1403.7,197.61,23.94,24.15,3.31,0.0
20230111:2103,128.9,28.88,10.78,23.36,2.14,0.0
20230111:2203,0.0,0.0,0.0,22.52,1.24,0.0
20230111:2303,0.0,0.0,0.0,21.49,0.76,0.0
20230112:0003,0.0,0.0,0.0,20.66,0.97,0.0
20230112:0103,0.0,0.0,0.0,20.3,1.31,0.0
20230112:0203,0.0,0.0,0.0,20.04,1.45,0.0
20230112:0303,0.0,0.0,0.0,19.79,1.79,0.0
20230112:0403,0.0,0.0,0.0,19.79,2.0,0.0
20230112:0503,0.0,0.0,0.0,19.49,2.14,0.0
20230112:0603,0.0,0.0,0.0,19.32,2.14,0.0
20230112:0703,0.0,0.0,0.0,19.32,2.21,0.0
20230112:0803,0.0,0.0,0.0,19.39,2.55,0.0
20230112:0903,161.8,38.65,6.17,19.39,2.55,0.0
20230112:1003,599.3,90.42,19.22,20.24,2.69,0.0
20230112:1103,1968.6,259.58,32.57,21.56,3.86,0.0
20230112:1203,3119.2,405.08,46.14,22.92,4.83,0.0
20230112:1303,5523.0,731.84,59.83,23.98,4.83,0.0
20230112:1403,4958.6,658.55,73.57,24.63,4.69,0.0
20230112:1503,4623.4,616.42,86.88,25.51,4.48,0.0
20230112:1603,4557.0,609.44,78.48,25.79,4.14,0.0
20230112:1703,6250.1,837.77,64.75,23.8,4.34,0.0
20230112:1803,3395.4,446.29,51.03,23.29,3.24,0.0
20230112:1903,2518.4,337.13,37.42,25.47,3.17,0.0
20230112:2003,153.8,32.7,23.97,24.28,0.34,0.0
20230112:2103,357.2,60.56,10.8,23.24,0.28,0.0
20230112:2203,0.0,0.0,0.0,22.3,1.03,0.0
20230112:2303,0.0,0.0,0.0,21.67,1.24,0.0
20230113:0003,0.0,0.0,0.0,21.14,1.31,0.0
20230113:0103,0.0,0.0,0.0,20.34,1.72,0.0
20230113:0203,0.0,0.0,0.0,20.17,2.21,0.0
20230113:0303,0.0,0.0,0.0,20.0,2.69,0.0
20230113:0403,0.0,0.0,0.0,19.75,2.9,0.0
20230113:0503,0.0,0.0,0.0,19.58,2.55,0.0
20230113:0603,0.0,0.0,0.0,19.32,2.41,0.0
20230113:0703,0.0,0.0,0.0,19.45,2.48,0.0
20230113:0803,0.0,0.0,0.0,19.51,3.03,0.0
20230113:0903,35.4,13.47,6.03,19.66,3.38,0.0
20230113:1003,1493.6,213.08,19.08,20.88,3.31,0.0
20230113:1103,1328.1,180.75,32.45,22.27,4.83,0.0
20230113:1203,3211.2,414.88,46.02,23.57,6.76,0.0
20230113:1303,5671.0,743.86,59.71,24.34,6.48,0.0
20230113:1403,4495.2,589.91,73.46,24.7,5.86,0.0
20230113:1503,5865.8,786.06,86.7,25.26,5.45,0.0
20230113:1603,4805.2,639.19,78.53,25.92,5.24,0.0
20230113:1703,5152.6,689.42,64.81,26.53,4.97,0.0
20230113:1803,2969.0,394.04,51.09,26.75,4.69,0.0
20230113:1903,3024.1,402.59,37.46,25.68,5.24,0.0
20230113:2003,1170.5,165.09,24.01,25.18,4.0,0.0
20230113:2103,27.2,12.11,10.82,24.74,3.24,0.0
20230113:2203,0.0,0.0,0.0,23.91,2.55,0.0
20230113:2303,0.0,0.0,0.0,23.07,2.07,0.0
20230114:0003,0.0,0.0,0.0,22.46,2.0,0.0
20230114:0103,0.0,0.0,0.0,22.15,2.21,0.0
20230114:0203,0.0,0.0,0.0,22.06,2.41,0.0
20230114:0303,0.0,0.0,0.0,21.86,2.55,0.0
20230114:0403,0.0,0.0,0.0,21.49,2.69,0.0
20230114:0503,0.0,0.0,0.0,21.22,2.83,0.0
20230114:0603,0.0,0.0,0.0,21.07,2.83,0.0
20230114:0703,0.0,0.0,0.0,21.27,3.59,0.0
20230114:0803,0.0,0.0,0.0,21.26,3.59,0.0
20230114:0903,175.2,36.97,5.88,21.09,3.52,0.0
20230114:1003,611.4,92.34,18.94,21.61,3.72,0.0
20230114:1103,1939.8,256.83,32.32,22.43,4.14,0.0
20230114:1203,3499.2,453.76,45.9,23.04,4.97,0.0
20230114:1303,5723.0,751.2,59.6,24.03,6.21,0.0
20230114:1403,4992.5,656.33,73.34,25.0,6.41,0.0
20230114:1503,7283.6,992.84,86.53,25.67,5.79,0.0
20230114:1603,6503.5,885.06,78.57,26.53,5.24,0.0
20230114:1703,6486.5,886.44,64.86,27.05,4.55,0.0
20230114:1803,4167.6,558.04,51.13,27.26,3.93,0.0
20230114:1903,3228.2,442.16,37.5,28.05,3.24,0.0
20230114:2003,511.5,81.76,24.04,27.07,2.0,0.0
20230114:2103,90.7,23.29,10.84,26.54,1.17,0.0
20230114:2203,0.0,0.0,0.0,25.23,0.69,0.0
20230114:2303,0.0,0.0,0.0,25.05,0.48,0.0
20230115:0003,0.0,0.0,0.0,24.27,0.62,0.0
20230115:0103,0.0,0.0,0.0,22.92,0.97,0.0
20230115:0203,0.0,0.0,0.0,21.76,1.31,0.0
20230115:0303,0.0,0.0,0.0,21.23,1.24,0.0
20230115:0403,0.0,0.0,0.0,21.02,1.03,0.0
20230115:0503,0.0,0.0,0.0,20.71,1.03,0.0
20230115:0603,0.0,0.0,0.0,20.46,1.1,0.0
20230115:0703,0.0,0.0,0.0,20.43,1.66,0.0
20230115:0803,0.0,0.0,0.0,20.43,1.66,0.0
20230115:0903,164.6,36.07,5.73,20.34,1.52,0.0
20230115:1003,1190.4,169.98,18.81,22.67,1.38,0.0
20230115:1103,2398.8,320.62,32.19,24.6,2.28,0.0
20230115:1203,5163.7,697.92,45.78,26.12,2.97,0.0
20230115:1303,6228.3,862.55,59.48,27.37,3.38,0.0
20230115:1403,6864.2,974.57,73.22,28.3,3.31,0.0
20230115:1503,7019.4,1013.67,86.35,28.88,2.9,0.0
20230115:1603,6779.9,979.28,78.61,29.35,2.62,0.0
20230115:1703,5524.8,775.94,64.91,29.16,2.34,0.0
20230115:1803,494.2,79.84,51.18,27.74,0.97,0.0
20230115:1903,291.9,52.9,37.54,28.58,1.66,0.0
20230115:2003,152.5,32.7,24.06,25.94,1.52,0.0
20230115:2103,27.2,12.11,10.85,24.2,0.9,0.0
20230115:2203,0.0,0.0,0.0,23.42,0.9,0.0
20230115:2303,0.0,0.0,0.0,22.85,1.03,0.0
20230116:0003,0.0,0.0,0.0,22.45,1.17,0.0
20230116:0103,0.0,0.0,0.0,21.98,1.59,0.0
20230116:0203,0.0,0.0,0.0,21.56,1.03,0.0
20230116:0303,0.0,0.0,0.0,21.38,1.31,0.0
20230116:0403,0.0,0.0,0.0,21.08,1.31,0.0
20230116:0503,0.0,0.0,0.0,20.83,1.31,0.0
20230116:0603,0.0,0.0,0.0,20.44,1.24,0.0
20230116:0703,0.0,0.0,0.0,20.78,0.76,0.0
20230116:0803,0.0,0.0,0.0,20.51,0.62,0.0
20230116:0903,144.3,32.55,5.58,20.22,0.69,0.0
20230116:1003,1603.6,240.76,18.67,21.48,0.9,0.0
20230116:1103,3496.6,469.8,32.06,23.17,1.38,0.0
20230116:1203,5062.7,692.08,45.66,25.03,1.59,0.0
20230116:1303,6119.0,882.86,59.37,26.26,0.83,0.0
20230116:1403,6527.6,983.24,73.1,27.2,0.28,0.0
20230116:1503,6912.8,1038.12,86.16,26.67,0.76,0.0
20230116:1603,6583.3,954.95,78.64,26.58,1.45,0.0
20230116:1703,5874.4,815.94,64.96,25.95,2.28,0.0
20230116:1803,4365.4,587.37,51.22,24.72,2.14,0.0
20230116:1903,3370.0,455.9,37.57,25.2,3.17,0.0
20230116:2003,1371.0,222.0,24.09,24.7,3.03,0.0
20230116:2103,27.4,12.11,10.86,23.45,2.41,0.0
20230116:2203,0.0,0.0,0.0,22.72,2.21,0.0
20230116:2303,0.0,0.0,0.0,22.24,2.28,0.0
20230117:0003,0.0,0.0,0.0,21.95,2.0,0.0
20230117:0103,0.0,0.0,0.0,21.61,1.79,0.0
20230117:0203,0.0,0.0,0.0,21.42,1.24,0.0
20230117:0303,0.0,0.0,0.0,21.02,0.83,0.0
20230117:0403,0.0,0.0,0.0,20.87,0.69,0.0
20230117:0503,0.0,0.0,0.0,20.62,0.62,0.0
20230117:0603,0.0,0.0,0.0,20.46,0.55,0.0
20230117:0703,0.0,0.0,0.0,20.0,0.21,0.0
20230117:0803,0.0,0.0,0.0,20.07,0.28,0.0
20230117:0903,104.8,28.47,5.44,20.17,0.41,0.0
20230117:1003,1593.2,237.38,18.53,20.69,0.97,0.0
20230117:1103,3608.6,484.38,31.94,21.91,1.03,0.0
20230117:1203,5151.4,707.95,45.54,23.25,0.83,0.0
20230117:1303,5968.3,861.4,59.25,25.17,0.41,0.0
20230117:1403,5784.9,847.34,72.99,26.58,0.21,0.0
20230117:1503,6176.0,906.26,85.97,27.55,0.9,0.0
20230117:1603,5473.5,775.14,78.66,28.05,1.72,0.0
20230117:1703,5591.4,781.18,65.0,27.88,2.34,0.0
20230117:1803,4731.2,642.59,51.26,26.89,2.69,0.0
20230117:1903,3352.6,453.4,37.6,26.08,3.59,0.0
20230117:2003,1258.0,176.42,24.1,24.77,3.79,0.0
20230117:2103,27.4,12.11,10.86,23.63,3.52,0.0
20230117:2203,0.0,0.0,0.0,22.52,2.97,0.0
20230117:2303,0.0,0.0,0.0,21.69,2.55,0.0
20230118:0003,0.0,0.0,0.0,21.32,2.28,0.0
20230118:0103,0.0,0.0,0.0,21.03,1.52,0.0
20230118:0203,0.0,0.0,0.0,20.83,0.83,0.0
20230118:0303,0.0,0.0,0.0,20.22,0.97,0.0
20230118:0403,0.0,0.0,0.0,19.93,1.03,0.0
20230118:0503,0.0,0.0,0.0,19.68,0.76,0.0
20230118:0603,0.0,0.0,0.0,19.97,0.41,0.0
20230118:0703,0.0,0.0,0.0,20.13,0.34,0.0
20230118:0803,0.0,0.0,0.0,19.92,0.41,0.0
20230118:0903,129.0,30.31,5.29,19.79,0.28,0.0
20230118:1003,1417.5,203.04,18.4,19.98,0.83,0.0
20230118:1103,3560.2,474.74,31.81,21.52,1.38,0.0
20230118:1203,4564.2,612.81,45.42,23.16,1.66,0.0
20230118:1303,6135.4,866.65,59.14,24.75,1.38,0.0
20230118:1403,6436.7,942.81,72.87,25.94,0.83,0.0
20230118:1503,5881.6,864.61,85.77,26.6,0.28,0.0
20230118:1603,6202.4,887.02,78.68,26.7,1.72,0.0
20230118:1703,6319.6,870.15,65.03,24.85,2.97,0.0
20230118:1803,3385.6,445.97,51.29,24.32,3.72,0.0
20230118:1903,484.1,76.95,37.62,23.59,3.38,0.0
20230118:2003,155.2,32.7,24.12,22.98,3.1,0.0
20230118:2103,27.8,12.11,10.86,21.63,2.62,0.0
20230118:2203,0.0,0.0,0.0,21.08,2.48,0.0
20230118:2303,0.0,0.0,0.0,20.64,2.0,0.0
20230119:0003,0.0,0.0,0.0,20.37,1.45,0.0
20230119:0103,0.0,0.0,0.0,20.23,1.31,0.0
20230119:0203,0.0,0.0,0.0,20.04,1.17,0.0
